Fishery_ShortName,Fishery,Region,GearType_specific,GearType_general,Year,Target,Target_HMS,Overfished_Fm,Overfished_Fm_numeric,Overfishing_Bt,Overfishing_Bt_numeric,TotalDiscards_lbs,TotalBycatch_inds,Discard_Rate,ESA_num,ESA_discards_lbs,ESA_birdturt,IUCN_num,IUCN_discards_lbs,IUCN_birdturt,MMPA,VessPers,Fishery_Tier,CV_mean,CV_median,CV_max
AK: BS/AI Non-Pollock Trawl,Bering Sea/Aleutian Islands Non-Pollock Trawl,AK,bottom trawl,trawl,2013,"Flathead sole, rock sole, Atka mackerel, Pacific cod, yellowfin sole, Pacific ocean, perch, Arrowtooth flounder, Sablefish, Greenland turbot, Kamchatka flounder",Y,None,0,None,0,34358217.69,197,0.082430787,0,0,0,0,0,0,2,NA,4,,,
AK: BS/AI Non-Pollock Trawl,Bering Sea/Aleutian Islands Non-Pollock Trawl,AK,bottom trawl,trawl,2014,"Flathead sole, rock sole, Atka mackerel, Pacific cod, yellowfin sole, Pacific ocean, perch, Arrowtooth flounder, Sablefish, Greenland turbot, Kamchatka flounder",Y,None,0,None,0,68920776.48,66,0.082403817,0,0,0,16,0,0,1,NA,4,,,
AK: BS/AI Non-Pollock Trawl,Bering Sea/Aleutian Islands Non-Pollock Trawl,AK,bottom trawl,trawl,2015,"Flathead sole, rock sole, Atka mackerel, Pacific cod, yellowfin sole, Pacific ocean, perch, Arrowtooth flounder, Sablefish, Greenland turbot, Kamchatka flounder",Y,None,0,None,0,46982898.33,351,0.060399102,0,0,0,0,0,0,1,NA,4,,,
AK: BS/AI Pollock Trawl,Bering Sea/Aleutian Islands Pollock Trawl,AK,midwater trawl,trawl,2010,Pollock,M,None,0,None,0,15942621.31,94,0.008899856,0,0,0,0,0,0,2,95,4,,,
AK: BS/AI Pollock Trawl,Bering Sea/Aleutian Islands Pollock Trawl,AK,midwater trawl,trawl,2011,Pollock,M,None,0,None,0,36442321.33,232,0.01362792,0,0,0,0,0,0,2,95,4,,,
AK: BS/AI Pollock Trawl,Bering Sea/Aleutian Islands Pollock Trawl,AK,midwater trawl,trawl,2012,Pollock,M,None,0,None,0,31084059.45,102,0.011642467,0,0,0,0,0,0,2,95,4,,,
AK: BS/AI Pollock Trawl,Bering Sea/Aleutian Islands Pollock Trawl,AK,midwater trawl,trawl,2013,Pollock,M,None,0,None,0,26378739.27,134,0.009481037,0,0,0,0,0,0,2,95,4,,,
AK: BS/AI Pollock Trawl,Bering Sea/Aleutian Islands Pollock Trawl,AK,midwater trawl,trawl,2014,Pollock,M,None,0,Bogoslof stock unknown,0,11066375.57,NA,0.003990254,1,85719.32,0,16,0,0,2,95,4,,,
AK: BS/AI Pollock Trawl,Bering Sea/Aleutian Islands Pollock Trawl,AK,midwater trawl,trawl,2015,Pollock,M,None,0,Bogoslof stock unknown,0,13298688.38,0,0.0046519,1,90879.65,0,0,0,0,2,102,4,,,
AK: BS/AI Trawl Limited Access,Bering Sea/Aleutian Islands Trawl Limited Access,AK,trawl,trawl,2010,"Yellowfin sole, Pacific cod, Atka mackerel, Pacific ocean perch",Y,None,0,None,0,45861833.74,139,0.111975231,0,0,0,0,0,0,1,NA,3,,,
AK: BS/AI Trawl Limited Access,Bering Sea/Aleutian Islands Trawl Limited Access,AK,trawl,trawl,2011,"Yellowfin sole, Pacific cod, Atka mackerel, Pacific ocean perch",Y,None,0,None,0,55205890.13,0,0.100262879,0,0,0,0,0,0,1,NA,3,,,
AK: BS/AI Trawl Limited Access,Bering Sea/Aleutian Islands Trawl Limited Access,AK,trawl,trawl,2012,"Yellowfin sole, Pacific cod, Atka mackerel, Pacific ocean perch",Y,None,0,None,0,46096867.1,0,0.083243441,0,0,0,0,0,0,1,NA,3,,,
