Fishery_ShortName,Fishery,Region,GearType_specific,GearType_general,Year,Target,Target_HMS,Overfished_Fm,Overfished_Fm_numeric,Overfishing_Bt,Overfishing_Bt_numeric,TotalDiscards_lbs,TotalBycatch_inds,Discard_Rate,ESA_num,ESA_discards_lbs,ESA_birdturt,IUCN_num,IUCN_discards_lbs,IUCN_birdturt,MMPA,VessPers,Fishery_Tier,CV_mean,CV_median,CV_max,NORM_TotalDiscards_lbs,NORM_TotalBycatch_inds,NORM_Discard_Rate,NORM_ESA_num,NORM_ESA_lbs,NORM_ESA_birdturt,NORM_IUCN_num,NORM_IUCN_lbs,NORM_IUCN_birdturt,NORM_MMPA,NORM_Tier,NORM_CV,mean_criteria,criteria_sd,ncrit,criteria_se
AK: BS/AI Groundfish Pot,Bering Sea/Aleutian Islands Groundfish Pot,AK,pots and traps,pots and traps,2015,"Pacific cod, Sablefish",Y,None,0,None,0,3169062.25,214,0.04565311,0,0,0,0,0,0,1,NA,2,NA,NA,NA,0.010715185,0.029068188,0.054460841,0,0,0,0,0,0,0,0.333333333,NA,0.035631462,0.095981564,11,0.02893953
AK: BS/AI Non-Pollock Trawl,Bering Sea/Aleutian Islands Non-Pollock Trawl,AK,bottom trawl,trawl,2010,"Flathead sole, rock sole, Atka mackerel, Pacific cod, yellowfin sole, Pacific ocean, perch, Arrowtooth flounder, Sablefish, Greenland turbot, Kamchatka flounder",Y,None,0,None,0,45762873.2,467,0.091613418,0,0,0,0,0,0,2,NA,1,NA,NA,NA,0.154732728,0.063433849,0.109288147,0,0,0,0,0,0,0.5,0,NA,0.110621227,0.190480841,11,0.057432134
AK: BS/AI Non-Pollock Trawl,Bering Sea/Aleutian Islands Non-Pollock Trawl,AK,bottom trawl,trawl,2011,"Flathead sole, rock sole, Atka mackerel, Pacific cod, yellowfin sole, Pacific ocean, perch, Arrowtooth flounder, Sablefish, Greenland turbot, Kamchatka flounder",Y,None,0,None,0,32671961,88,0.075542966,0,0,0,0,0,0,2,NA,1,NA,NA,NA,0.110469936,0.011953274,0.090117266,0,0,0,0,0,0,0.5,0,NA,0.10104504,0.191659893,11,0.057787632
AK: BS/AI Non-Pollock Trawl,Bering Sea/Aleutian Islands Non-Pollock Trawl,AK,bottom trawl,trawl,2012,"Flathead sole, rock sole, Atka mackerel, Pacific cod, yellowfin sole, Pacific ocean, perch, Arrowtooth flounder, Sablefish, Greenland turbot, Kamchatka flounder",Y,None,0,None,0,40074572.27,251,0.084616707,0,0,0,0,0,0,2,NA,1,NA,NA,NA,0.135499532,0.034093996,0.100941579,0,0,0,0,0,0,0.5,0,NA,0.105877926,0.190994991,11,0.057587157
AK: BS/AI Non-Pollock Trawl,Bering Sea/Aleutian Islands Non-Pollock Trawl,AK,bottom trawl,trawl,2013,"Flathead sole, rock sole, Atka mackerel, Pacific cod, yellowfin sole, Pacific ocean, perch, Arrowtooth flounder, Sablefish, Greenland turbot, Kamchatka flounder",Y,None,0,None,0,34358217.69,197,0.082430787,0,0,0,0,0,0,2,NA,1,NA,NA,NA,0.116171481,0.026759033,0.098333936,0,0,0,0,0,0,0.5,0,NA,0.103438704,0.191066634,11,0.057608758
AK: BS/AI Non-Pollock Trawl,Bering Sea/Aleutian Islands Non-Pollock Trawl,AK,bottom trawl,trawl,2014,"Flathead sole, rock sole, Atka mackerel, Pacific cod, yellowfin sole, Pacific ocean, perch, Arrowtooth flounder, Sablefish, Greenland turbot, Kamchatka flounder",Y,None,0,None,0,68920776.48,66,0.082403817,0,0,0,16,0,0,1,NA,1,NA,NA,NA,0.233033877,0.008964955,0.098301762,0,0,0,0.355555556,0,0,0,0,NA,0.057988012,0.117715498,11,0.035492558
AK: BS/AI Non-Pollock Trawl,Bering Sea/Aleutian Islands Non-Pollock Trawl,AK,bottom trawl,trawl,2015,"Flathead sole, rock sole, Atka mackerel, Pacific cod, yellowfin sole, Pacific ocean, perch, Arrowtooth flounder, Sablefish, Greenland turbot, Kamchatka flounder",Y,None,0,None,0,46982898.33,351,0.060399102,0,0,0,0,0,0,1,NA,1,NA,NA,NA,0.158857858,0.047677262,0.072051737,0,0,0,0,0,0,0,0,NA,0.023215571,0.049208667,11,0.014836971
AK: BS/AI Pollock Trawl,Bering Sea/Aleutian Islands Pollock Trawl,AK,midwater trawl,trawl,2010,Pollock,M,None,0,None,0,15942621.31,94,0.008899856,0,0,0,0,0,0,2,95,1,NA,NA,NA,0.053904948,0.012768269,0.010616881,0,0,0,0,0,0,0.5,0,NA,0.089774175,0.193701275,11,0.058403132
AK: BS/AI Pollock Trawl,Bering Sea/Aleutian Islands Pollock Trawl,AK,midwater trawl,trawl,2011,Pollock,M,None,0,None,0,36442321.33,232,0.01362792,0,0,0,0,0,0,2,95,1,NA,NA,NA,0.12321822,0.031513176,0.016257118,0,0,0,0,0,0,0.5,0,NA,0.097582376,0.192674839,11,0.05809365
AK: BS/AI Pollock Trawl,Bering Sea/Aleutian Islands Pollock Trawl,AK,midwater trawl,trawl,2012,Pollock,M,None,0,None,0,31084059.45,102,0.011642467,0,0,0,0,0,0,2,95,1,NA,NA,NA,0.105100947,0.013854931,0.013888617,0,0,0,0,0,0,0.5,0,NA,0.094403708,0.193228364,11,0.058260544
AK: BS/AI Pollock Trawl,Bering Sea/Aleutian Islands Pollock Trawl,AK,midwater trawl,trawl,2013,Pollock,M,None,0,None,0,26378739.27,134,0.009481037,0,0,0,0,0,0,2,95,1,NA,NA,NA,0.08919139,0.018201576,0.011310188,0,0,0,0,0,0,0.5,0,NA,0.093225263,0.193141541,11,0.058234366
AK: BS/AI Pollock Trawl,Bering Sea/Aleutian Islands Pollock Trawl,AK,midwater trawl,trawl,2014,Pollock,M,None,0,Bogoslof stock unknown,0,11066375.57,NA,0.003990254,1,85719.32,0,16,0,0,2,95,1,NA,NA,NA,0.03741746,NA,0.004760083,0.166666667,0.049521603,0,0.355555556,0,0,0.5,0,NA,0.146720124,0.207142305,10,0.065504148
AK: BS/AI Pollock Trawl,Bering Sea/Aleutian Islands Pollock Trawl,AK,midwater trawl,trawl,2015,Pollock,M,None,0,Bogoslof stock unknown,0,13298688.38,0,0.0046519,1,90879.65,0,0,0,0,2,102,1,NA,NA,NA,0.044965322,0,0.005549378,0.166666667,0.05250282,0,0,0,0,0.5,0,NA,0.105807016,0.191731905,11,0.057809345
AK: BS/AI Trawl Limited Access,Bering Sea/Aleutian Islands Trawl Limited Access,AK,trawl,trawl,2010,"Yellowfin sole, Pacific cod, Atka mackerel, Pacific ocean perch",Y,None,0,None,0,45861833.74,139,0.111975231,0,0,0,0,0,0,1,NA,2,NA,NA,NA,0.155067332,0.018880739,0.133578309,0,0,0,0,0,0,0,0.333333333,NA,0.053404976,0.104865425,11,0.031618115
AK: BS/AI Trawl Limited Access,Bering Sea/Aleutian Islands Trawl Limited Access,AK,trawl,trawl,2011,"Yellowfin sole, Pacific cod, Atka mackerel, Pacific ocean perch",Y,None,0,None,0,55205890.13,0,0.100262879,0,0,0,0,0,0,1,NA,2,NA,NA,NA,0.186661313,0,0.119606325,0,0,0,0,0,0,0,0.333333333,NA,0.053300081,0.107918108,11,0.032538534
AK: BS/AI Trawl Limited Access,Bering Sea/Aleutian Islands Trawl Limited Access,AK,trawl,trawl,2012,"Yellowfin sole, Pacific cod, Atka mackerel, Pacific ocean perch",Y,None,0,None,0,46096867.1,0,0.083243441,0,0,0,0,0,0,1,NA,2,NA,NA,NA,0.155862023,0,0.099303373,0,0,0,0,0,0,0,0.333333333,NA,0.049041561,0.103658171,11,0.031254115
AK: BS/AI Trawl Limited Access,Bering Sea/Aleutian Islands Trawl Limited Access,AK,trawl,trawl,2013,"Yellowfin sole, Pacific cod, Atka mackerel, Pacific ocean perch",Y,None,0,None,0,59560471.63,0,0.095112289,0,0,0,0,0,0,1,NA,2,NA,NA,NA,0.201384957,0,0.113462045,0,0,0,0,0,0,0,0.333333333,NA,0.054015028,0.109345959,11,0.032969047
AK: BS/AI Trawl Limited Access,Bering Sea/Aleutian Islands Trawl Limited Access,AK,trawl,trawl,2014,"Yellowfin sole, Pacific cod, Atka mackerel, Pacific ocean perch",Y,None,0,None,0,20164749.26,127,0.101205071,1,8634.05,0,16,0,0,2,NA,2,NA,NA,NA,0.068180742,0.017250747,0.120730291,0.166666667,0.004988047,0,0.355555556,0,0,0.5,0.333333333,NA,0.172225449,0.198978066,11,0.059994144
AK: BS/AI Trawl Limited Access,Bering Sea/Aleutian Islands Trawl Limited Access,AK,trawl,trawl,2015,"Yellowfin sole, Pacific cod, Atka mackerel, Pacific ocean perch",Y,None,0,None,0,12789723.47,56,0.09329279,1,9370.83,0,0,0,0,2,NA,2,NA,NA,NA,0.043244418,0.007606629,0.111291515,0.166666667,0.005413698,0,0,0,0,0.5,0.333333333,NA,0.138963022,0.197251097,11,0.059473443
AK: Bristol Bay Red King Crab Pot,Bristol Bay Red King Crab Pot,AK,pots and traps,pots and traps,2014,Red king crab,N,None,0,None,0,7166449,NA,0.417784678,0,0,0,16,0,0,2,NA,2,NA,NA,NA,0.024231088,NA,0.498386745,0,0,0,0.355555556,0,0,0.5,0.333333333,NA,0.201046066,0.234931411,10,0.074291835
AK: Bristol Bay Red King Crab Pot,Bristol Bay Red King Crab Pot,AK,pots and traps,pots and traps,2015,Red king crab,N,None,0,None,0,4215238.46,0,0.297161798,0,0,0,0,0,0,2,NA,2,NA,NA,NA,0.0142525,0,0.354492419,0,0,0,0,0,0,0.5,0.333333333,NA,0.141839854,0.213877734,11,0.064486563
WC: C Halibut Trawl,California Halibut Trawl,WC,bottom trawl,trawl,2010,California halibut,Y,None,0,None,0,758197.55,0,0.838274056,2,0,0,2,6444.55,0,1,53,2,NA,NA,NA,0.002563606,0,1,0.333333333,0,0,0.044444444,0.000577435,0,0,0.333333333,NA,0.142854346,0.300663277,11,0.090653389
