"Fishery_ShortName","Fishery","Region","GearType_specific","GearType_general","Year","Target","Target_HMS","Overfished_Fm","Overfished_Fm_numeric","Overfishing_Bt","Overfishing_Bt_numeric","TotalDiscards_FI_lbs","TotalDiscards_FI_inds","TotalBycatch_SS_inds","Discard_Rate","ESA_sp_num","ESA_FI_discards_lbs","ESA_FI_discards_inds","ESA_birdturt","IUCN_sp_num","IUCN_FI_discards_lbs","IUCN_FI_discards_inds","IUCN_birdturt","MMPA","VessPers","Fishery_Tier","CV_mean","CV_median","CV_max","NORM_TotalDiscards_lbs","NORM_TotalDiscards_inds","NORM_IUCN_lbs","NORM_IUCN_inds","NORM_ESA_inds","NORM_ESA_lbs","NORM_TotalBycatch_inds","NORM_Discard_Rate","NORM_ESA_num","NORM_ESA_birdturt","NORM_IUCN_num","NORM_IUCN_birdturt","NORM_MMPA","NORM_Tier","NORM_CV","NORM_TotalDiscards_Combined","NORM_ESA_Discards_Combined","NORM_IUCN_Discards_Combined","mean_criteria","criteria_sd","ncrit","criteria_se"
"AK: BS/AI Catcher Vessel Longline","Bering Sea/Aleutian Islands Catcher Vessel Longline","AK","longline","longline",2014,"Sablefish, Pacific cod, Pacific halibut","Y","Pacific halibut undefined",0,"None",0,4966638.53,NA,163,0.334121979,1,0,NA,0,18,0,NA,37,1,NA,2,NA,NA,NA,0.0167931223499963,NA,0,NA,NA,0,0.0221407226297202,0.398583227774378,0.166666666666667,0,0.4,0.0303378156772712,0,0.333333333333333,NA,0.0167931223499963,0,0,0.113987907369281,0.16738656291582,11,0.0504689476489994
"AK: BS/AI Catcher Vessel Longline","Bering Sea/Aleutian Islands Catcher Vessel Longline","AK","longline","longline",2015,"Sablefish, Pacific cod, Pacific halibut","Y","Pacific halibut undefined",0,"None",0,3433715.65,NA,201,0.34411121,0,0,NA,0,1,0,NA,81,1,NA,2,NA,NA,NA,0.0116100269180546,NA,0,NA,NA,0,0.0273023634881826,0.4104996540654,0,0,0.0222222222222222,0.0664152181042965,0,0.333333333333333,NA,0.0116100269180546,0,0,0.0726152348442908,0.143193391313267,11,0.0431744319495131
"AK: BS/AI Groundfish Pot","Bering Sea/Aleutian Islands Groundfish Pot","AK","pots and traps","pots and traps",2010,"Pacific cod, Sablefish","Y","None",0,"None",0,2237028.14,NA,65,0.046239476,0,0,NA,0,0,0,NA,0,2,NA,2,NA,NA,NA,0.00756380538436417,NA,0,NA,NA,0,0.00882912252105406,0.0551603329114602,0,0,0,0,0.5,0.333333333333333,NA,0.00756380538436417,0,0,0.117073882845851,0.203767607328126,11,0.061438245266897
"AK: BS/AI Groundfish Pot","Bering Sea/Aleutian Islands Groundfish Pot","AK","pots and traps","pots and traps",2011,"Pacific cod, Sablefish","Y","None",0,"None",0,2829986.07,NA,0,0.043037816,0,0,NA,0,0,0,NA,0,2,"74",2,NA,NA,NA,0.00956870568196858,NA,0,NA,NA,0,0,0.0513409853161434,0,0,0,0,0.5,0.333333333333333,NA,0.00956870568196858,0,0,0.116186918694287,0.204227422351734,11,0.0615768847129222
"AK: BS/AI Groundfish Pot","Bering Sea/Aleutian Islands Groundfish Pot","AK","pots and traps","pots and traps",2012,"Pacific cod, Sablefish","Y","None",0,"None",0,1744822.32,NA,21,0.026374745,0,0,NA,0,0,0,NA,0,2,"74",2,NA,NA,NA,0.00589956658246364,NA,0,NA,NA,0,0.00285248573757131,0.03146315314332,0,0,0,0,0.5,0.333333333333333,NA,0.00589956658246364,0,0,0.114462378233057,0.204921977717231,11,0.0617863010350569
"AK: BS/AI Groundfish Pot","Bering Sea/Aleutian Islands Groundfish Pot","AK","pots and traps","pots and traps",2013,"Pacific cod, Sablefish","Y","None",0,"None",0,2699001.88,NA,19,0.038405795,0,0,NA,0,0,0,NA,0,1,"74",2,NA,NA,NA,0.0091258239390556,NA,0,NA,NA,0,0.00258082042923119,0.0458153210457941,0,0,0,0,0,0.333333333333333,NA,0.0091258239390556,0,0,0.0325712748956178,0.0963500544107709,11,0.0290506344555322
"AK: BS/AI Groundfish Pot","Bering Sea/Aleutian Islands Groundfish Pot","AK","pots and traps","pots and traps",2014,"Pacific cod, Sablefish","Y","None",0,"None",0,3313878.82,NA,46,0.045612815,0,0,NA,0,16,0,NA,0,1,NA,2,NA,NA,NA,0.0112048364585375,NA,0,NA,NA,0,0.00624830209182287,0.0544127719014126,0,0,0.355555555555556,0,0,0.333333333333333,NA,0.0112048364585375,0,0,0.0633962332783885,0.13327607489925,11,0.0401842485429197
"AK: BS/AI Groundfish Pot","Bering Sea/Aleutian Islands Groundfish Pot","AK","pots and traps","pots and traps",2015,"Pacific cod, Sablefish","Y","None",0,"None",0,3169062.25,NA,214,0.04565311,0,0,NA,0,0,0,NA,0,1,NA,2,NA,NA,NA,0.0107151848836087,NA,0,NA,NA,0,0.0290681879923934,0.0544608409066641,0,0,0,0,0,0.333333333333333,NA,0.0107151848836087,0,0,0.0356314622596666,0.0959815635231676,11,0.0289395302725463
"AK: BS/AI Non-Pollock Trawl","Bering Sea/Aleutian Islands Non-Pollock Trawl","AK","bottom trawl","trawl",2010,"Flathead sole, rock sole, Atka mackerel, Pacific cod, yellowfin sole, Pacific ocean, perch, Arrowtooth flounder, Sablefish, Greenland turbot, Kamchatka flounder","Y","None",0,"None",0,45762873.2,NA,467,0.091613418,0,0,NA,0,0,0,NA,0,2,NA,1,NA,NA,NA,0.154732727999629,NA,0,NA,NA,0,0.0634338494974192,0.109288146691731,0,0,0,0,0.5,0,NA,0.154732727999629,0,0,0.110621227015732,0.190480840704859,11,0.0574321343972248
"AK: BS/AI Non-Pollock Trawl","Bering Sea/Aleutian Islands Non-Pollock Trawl","AK","bottom trawl","trawl",2011,"Flathead sole, rock sole, Atka mackerel, Pacific cod, yellowfin sole, Pacific ocean, perch, Arrowtooth flounder, Sablefish, Greenland turbot, Kamchatka flounder","Y","None",0,"None",0,32671961,NA,88,0.075542966,0,0,NA,0,0,0,NA,0,2,NA,1,NA,NA,NA,0.110469935585851,NA,0,NA,NA,0,0.0119532735669655,0.0901172658980633,0,0,0,0,0.5,0,NA,0.110469935585851,0,0,0.101045039587573,0.191659893174711,11,0.0577876320927376
